component_id,component_name,variant_type,parent_id,manifest_hash,file_count,total_size_bytes,ground_truth_label,affected_sectors,affected_jurisdictions,distribution_scope,severity,expected_sba_recipients
comp_027,agent-permission-checker,baseline,,533d8855893cb648064bedb541297a93fd4202b10ed5ec422514d30cd22fdccf,7,884,known_good,,,,,
comp_028,agent-output-sanitizer,baseline,,d91d21b860113029b0066685d1d2341a54c3c6139f12ac26d779426bcb72888f,4,508,known_good,,,,,
comp_029,agent-error-handler,baseline,,1cdf05df6a3b73c2208ffa09b368f51a4536c1dd7637ac9e45b2adbc37dffc95,5,570,known_good,,,,,
comp_030,agent-telemetry-emitter,baseline,,7042fcaa4dac28c3dac74fdbb7b0fd4f5e81a83961d2cff7628f4e5d3014a6a7,6,730,known_good,,,,,
comp_M01,agent-memory-store-M01,modification,comp_001,faf88f07a60ede0059973b80523868f4bd5bc1cc4c93ac72310e05e5eb88c8ec,5,596,compromised,FIN,,single_jurisdiction,medium,
comp_M02,agent-tool-runner-M02,modification,comp_002,caae1a957b370031ea41c7a29c126156998f580cde6401f6aaffcd963468d2f0,6,685,compromised,CI,,single_jurisdiction,medium,Org2MSP
comp_M03,agent-llm-bridge-M03,modification,comp_003,7fe2d4a43894967c47ec5716fff6b3563cce910f301b9e23ac3fc6d9b1ac3fc0,7,794,compromised,HC,,single_jurisdiction,medium,Org3MSP
comp_M04,agent-file-reader-M04,modification,comp_004,828ed994c850adf5e17ffad936d2504649c44f05c1326dfa580c1997c22b35d3,4,518,compromised,GOV,,single_jurisdiction,medium,Org4MSP
comp_M05,agent-file-writer-M05,modification,comp_005,e74c028399628e273c4516308f7f10ce93ab8dfb935505337b972896046a5606,5,589,compromised,FIN,,single_jurisdiction,medium,
comp_A01,agent-scheduler-A01,addition,comp_006,f1f37ba5144b80e08419ac7630bd3b90f0dc276aaec3d6aa22a5a8045ed07f29,7,759,compromised,"FIN,CI",,multi_jurisdiction,high,Org2MSP
comp_A02,agent-prompt-builder-A02,addition,comp_007,1113a7cd32c9afda1842608c23e78e8f0afde9840adb20362f2760898b87990b,8,869,compromised,"HC,GOV",,multi_jurisdiction,high,"Org3MSP,Org4MSP"
comp_A03,agent-token-counter-A03,addition,comp_008,016beb398caec4fabe889db643201a6861d8ba56805b3637c8966b4c9a1a8ace,5,582,compromised,"FIN,HC",,multi_jurisdiction,high,Org3MSP
comp_A04,agent-rate-limiter-A04,addition,comp_009,7af11a8306edb3175f2a1540a43ba0a9ed46c1e83c5d64bab6ed492356183e29,7,648,compromised,"CI,HC,GOV",,multi_jurisdiction,high,"Org2MSP,Org3MSP,Org4MSP"
comp_A05,agent-retry-policy-A05,addition,comp_010,16df80aedc625e03ffdcecbaba63119647f88a69a211a7363f99d24de57d1faa,7,835,compromised,"FIN,CI,HC,GOV",,multi_jurisdiction,high,"Org2MSP,Org3MSP,Org4MSP"
comp_R01,agent-context-window-R01,removal,comp_011,b874f2ccf763c19a6dd50fc87248a68b6bdfe496399a49cf436b750da3487b7e,6,774,compromised,GOV,,single_jurisdiction,low,Org4MSP
comp_R02,agent-embedding-cache-R02,removal,comp_012,fcfe2bb99760182be46a2b2a27ef3ac05b943690bfdaa91381db511cb331a153,3,378,compromised,HC,,single_jurisdiction,medium,Org3MSP
comp_R03,agent-vector-search-R03,removal,comp_013,51a4cb8edeb7b80cb55e0a5db1d569bfe8d96788ffe65c5ee00ecf9c6391aad0,4,518,compromised,CI,,single_jurisdiction,critical,"Org2MSP,Org4MSP"
comp_R04,agent-session-manager-R04,removal,comp_014,b0372613214ffac6e9d8ddb9b0f3f66f1786ad9e15afec86b1168b0eae91e5a3,4,525,compromised,FIN,,multi_jurisdiction,high,
comp_R05,agent-event-logger-R05,removal,comp_015,6a9a2923e377cee99d387500b5b595d5b8cded3f025678a16e7877cd95207b40,6,583,compromised,GOV,ALL,global,critical,"Org2MSP,Org3MSP,Org4MSP"
